datetime,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,casual,registered,count
2011-10-18T03:00:00Z,4,0,1,1,18.04,21.97,94,6.0032,0,1,1
2011-08-17T21:00:00Z,3,0,1,1,29.52,34.09,62,15.0013,38,192,230
2012-11-11T11:00:00Z,4,0,0,1,18.86,22.725,59,8.9981,180,324,504
2011-05-12T16:00:00Z,2,0,1,2,26.24,31.06,57,16.9979,50,238,288
2011-05-04T15:00:00Z,2,0,1,1,19.68,23.485,51,27.9993,22,107,129
2012-11-11T03:00:00Z,4,0,0,1,13.94,18.18,81,0,9,39,48
2012-10-14T03:00:00Z,4,0,0,1,17.22,21.21,77,19.9995,3,25,28
2012-12-16T03:00:00Z,4,0,0,2,13.94,16.665,87,12.998,1,37,38
2012-01-11T06:00:00Z,1,0,1,1,8.2,10.605,86,8.9981,2,72,74
2011-04-05T00:00:00Z,2,0,1,1,25.42,31.06,50,7.0015,10,12,22
2012-01-04T09:00:00Z,1,0,1,1,1.64,3.03,45,8.9981,7,173,180
2011-04-10T09:00:00Z,2,0,0,2,15.58,19.695,94,8.9981,31,50,81
2012-02-19T00:00:00Z,1,0,0,2,13.94,15.15,39,23.9994,9,65,74
2011-01-04T14:00:00Z,1,0,1,1,10.66,12.88,52,15.0013,9,54,63
2012-04-08T10:00:00Z,2,0,0,1,20.5,24.24,25,15.0013,113,186,299
2012-09-12T03:00:00Z,3,0,1,1,20.5,24.24,77,6.0032,0,7,7
2011-01-06T02:00:00Z,1,0,1,1,6.56,11.365,64,0,0,2,2
2011-09-08T06:00:00Z,3,0,1,3,25.42,27.275,94,11.0014,1,55,56
2011-01-04T00:00:00Z,1,0,1,1,6.56,9.09,55,7.0015,0,5,5
2012-08-14T13:00:00Z,3,0,1,1,32.8,36.365,46,6.0032,83,203,286
2012-07-16T15:00:00Z,3,0,1,1,35.26,40.15,47,16.9979,61,176,237
2012-10-10T18:00:00Z,4,0,1,2,22.96,26.515,49,11.0014,57,787,844
2011-11-19T23:00:00Z,4,0,0,1,15.58,19.695,62,15.0013,20,73,93
2012-09-08T18:00:00Z,3,0,0,3,23.78,27.275,83,8.9981,27,140,167
2011-04-14T03:00:00Z,2,0,1,1,13.94,16.665,81,8.9981,0,2,2
2012-12-02T20:00:00Z,4,0,0,2,17.22,21.21,82,12.998,12,142,154
2011-09-17T16:00:00Z,3,0,0,1,22.14,25.76,68,16.9979,116,189,305
2012-09-05T22:00:00Z,3,0,1,1,29.52,34.85,79,0,38,181,219
2012-07-04T14:00:00Z,3,1,0,1,36.9,40.91,37,11.0014,190,357,547
2011-09-06T08:00:00Z,3,0,1,3,22.14,25.76,83,26.0027,15,349,364
2012-03-13T00:00:00Z,1,0,1,2,22.96,26.515,52,12.998,5,21,26
2011-11-02T07:00:00Z,4,0,1,1,12.3,16.665,81,0,11,240,251
2011-10-07T12:00:00Z,4,0,1,1,24.6,31.06,53,0,61,174,235
2012-07-03T12:00:00Z,3,0,1,1,36.08,37.88,28,12.998,74,198,272
2011-10-01T22:00:00Z,4,0,0,2,14.76,17.425,93,15.0013,12,58,70
2011-01-13T17:00:00Z,1,0,1,1,8.2,9.09,40,19.0012,4,158,162
2011-04-18T04:00:00Z,2,0,1,1,16.4,20.455,87,11.0014,2,4,6
2011-08-10T12:00:00Z,3,0,1,1,33.62,36.365,38,19.9995,74,166,240
2011-12-10T00:00:00Z,4,0,0,2,10.66,13.635,81,7.0015,11,66,77
2011-10-07T20:00:00Z,4,0,1,1,22.14,25.76,49,0,30,167,197
2011-12-17T22:00:00Z,4,0,0,1,8.2,10.605,75,11.0014,7,73,80
2012-02-15T01:00:00Z,1,0,1,1,13.94,18.18,53,0,0,5,5
2012-05-08T20:00:00Z,2,0,1,2,26.24,30.305,69,19.0012,40,262,302
2012-08-06T11:00:00Z,3,0,1,1,31.16,36.365,66,8.9981,108,152,260
2011-09-09T16:00:00Z,3,0,1,1,30.34,34.85,66,8.9981,41,244,285
2012-05-13T04:00:00Z,2,0,0,2,22.14,25.76,68,12.998,2,7,9
2011-12-06T10:00:00Z,4,0,1,3,18.86,22.725,94,19.0012,6,44,50
2012-11-08T20:00:00Z,4,0,1,1,15.58,19.695,29,31.0009,10,235,245
2011-09-11T13:00:00Z,3,0,0,1,30.34,34.09,58,7.0015,119,231,350
2011-08-01T07:00:00Z,3,0,1,1,30.34,34.09,62,0,24,258,282
2011-02-02T12:00:00Z,1,0,1,2,9.84,11.365,93,15.0013,3,61,64
